"Date","Last","Open","High","Low","Vol.","Change %"
"31/12/2025","95,800.0","96,800.0","97,000.0","95,200.0","3080000","-0.73%"
"30/12/2025","96,500.0","94,500.0","96,600.0","94,300.0","7270000","2.33%"
"29/12/2025","94,300.0","92,500.0","94,900.0","92,500.0","6300000","1.95%"
"26/12/2025","92,500.0","92,700.0","93,000.0","91,000.0","6610000","-0.54%"
"25/12/2025","93,000.0","93,600.0","94,800.0","93,000.0","4570000","-0.64%"
"24/12/2025","93,600.0","94,100.0","94,200.0","93,100.0","3900000","-0.43%"
"23/12/2025","94,000.0","94,000.0","95,900.0","93,600.0","6010000","0.32%"
"22/12/2025","93,700.0","94,100.0","94,300.0","93,500.0","6140000","-0.21%"
"19/12/2025","93,900.0","94,000.0","95,000.0","93,600.0","4490000","-0.53%"
"18/12/2025","94,400.0","95,500.0","95,600.0","93,900.0","4120000","-1.56%"
"17/12/2025","95,900.0","94,400.0","96,300.0","94,400.0","4970000","1.05%"
"16/12/2025","94,900.0","93,900.0","95,400.0","92,000.0","6300000","1.17%"
"15/12/2025","93,800.0","93,900.0","94,400.0","93,500.0","3520000","0.11%"
"12/12/2025","93,700.0","96,000.0","96,000.0","93,500.0","5520000","-2.40%"
"11/12/2025","96,000.0","95,900.0","96,600.0","95,600.0","5200000","0.42%"
"10/12/2025","95,600.0","97,100.0","97,100.0","95,600.0","3890000","-1.34%"
"09/12/2025","96,900.0","95,500.0","97,000.0","94,400.0","9960000","1.47%"
"08/12/2025","95,500.0","96,600.0","97,300.0","95,500.0","5280000","-0.73%"
"05/12/2025","96,200.0","97,500.0","97,500.0","96,100.0","5060000","-1.33%"
"04/12/2025","97,500.0","96,600.0","98,500.0","96,600.0","7390000","0.93%"
"03/12/2025","96,600.0","97,000.0","97,000.0","96,000.0","6480000","0.00%"
"02/12/2025","96,600.0","96,800.0","97,300.0","95,400.0","5560000","0.00%"
"01/12/2025","96,600.0","96,900.0","97,700.0","96,100.0","3130000","0.52%"
"28/11/2025","96,100.0","98,079.4","98,376.3","96,100.0","6210000","-2.41%"
"27/11/2025","98,475.3","98,178.3","98,772.2","97,089.7","4780000","0.51%"
"26/11/2025","97,980.4","98,772.2","99,168.0","97,881.4","5830000","-0.70%"
"25/11/2025","98,673.2","98,673.2","99,267.0","97,980.4","4490000","-0.50%"
"24/11/2025","99,168.0","99,662.9","100,058.8","98,574.2","5060000","-1.62%"
"21/11/2025","100,800.0","98,000.0","101,200.0","97,800.0","7940000","1.82%"
"20/11/2025","99,000.0","98,600.0","99,700.0","98,100.0","4590000","1.02%"
"19/11/2025","98,000.0","99,500.0","99,500.0","98,000.0","7640000","-2.00%"
"18/11/2025","100,000.0","101,000.0","101,100.0","98,800.0","6500000","-0.99%"
"17/11/2025","101,000.0","100,600.0","101,800.0","100,600.0","5590000","1.00%"
"14/11/2025","100,000.0","98,900.0","100,900.0","98,200.0","4700000","1.11%"
"13/11/2025","98,900.0","100,600.0","100,700.0","98,700.0","4760000","-1.69%"
"12/11/2025","100,600.0","96,500.0","100,600.0","96,500.0","6640000","4.68%"
"11/11/2025","96,100.0","96,800.0","97,900.0","96,100.0","6620000","-0.10%"
"10/11/2025","96,200.0","101,200.0","101,200.0","96,200.0","10070000","-4.75%"
"07/11/2025","101,000.0","99,500.0","101,800.0","99,500.0","5860000","0.80%"
"06/11/2025","100,200.0","100,900.0","102,000.0","99,400.0","6750000","-0.69%"
"05/11/2025","100,900.0","101,800.0","102,000.0","99,600.0","11740000","-2.32%"
"04/11/2025","103,300.0","104,100.0","104,700.0","101,700.0","10620000","-1.62%"
"03/11/2025","105,000.0","103,800.0","106,300.0","103,500.0","20960000","1.06%"
"31/10/2025","103,900.0","102,600.0","103,900.0","101,000.0","14830000","1.17%"
"30/10/2025","102,700.0","102,100.0","103,500.0","101,600.0","9730000","0.98%"
"29/10/2025","101,700.0","102,400.0","103,200.0","101,100.0","9300000","-0.49%"
"28/10/2025","102,200.0","98,600.0","102,200.0","98,600.0","20910000","4.29%"
"27/10/2025","98,000.0","99,000.0","99,700.0","96,300.0","12900000","0.31%"
"24/10/2025","97,700.0","95,000.0","97,700.0","94,700.0","13760000","2.84%"
"23/10/2025","95,000.0","97,200.0","97,300.0","94,000.0","6650000","-2.06%"
"22/10/2025","97,000.0","95,200.0","99,000.0","95,000.0","18310000","4.30%"
"21/10/2025","93,000.0","89,000.0","93,000.0","88,500.0","19520000","6.90%"
"20/10/2025","87,000.0","88,300.0","91,800.0","87,000.0","14580000","-1.25%"
"17/10/2025","88,100.0","90,100.0","91,500.0","88,100.0","8370000","-1.89%"
"16/10/2025","89,800.0","89,800.0","91,500.0","89,600.0","7930000","0.22%"
"15/10/2025","89,600.0","92,600.0","93,100.0","89,500.0","18740000","-3.03%"
"14/10/2025","92,400.0","94,100.0","94,500.0","92,400.0","12660000","-1.70%"
"13/10/2025","94,000.0","94,900.0","94,900.0","93,700.0","7920000","-2.19%"
"10/10/2025","96,100.0","94,200.0","96,500.0","93,800.0","8590000","2.02%"
"09/10/2025","94,200.0","95,000.0","95,000.0","93,500.0","5720000","-0.32%"
"08/10/2025","94,500.0","95,500.0","96,900.0","94,500.0","5130000","-1.05%"
"07/10/2025","95,500.0","96,000.0","96,300.0","95,200.0","6000000","0.00%"
"06/10/2025","95,500.0","94,300.0","95,900.0","93,500.0","6580000","2.25%"
"03/10/2025","93,400.0","92,200.0","94,000.0","92,100.0","7680000","1.41%"
"02/10/2025","92,100.0","92,900.0","93,400.0","92,000.0","7930000","-1.39%"
"01/10/2025","93,400.0","93,200.0","94,500.0","91,400.0","7410000","0.43%"
"30/09/2025","93,000.0","95,500.0","95,800.0","92,800.0","12020000","-2.62%"
"29/09/2025","95,500.0","97,800.0","97,800.0","95,500.0","10430000","-2.05%"
"26/09/2025","97,500.0","98,200.0","99,300.0","97,400.0","8080000","-0.51%"
"25/09/2025","98,000.0","99,500.0","99,500.0","97,900.0","8630000","-1.51%"
"24/09/2025","99,500.0","98,100.0","99,500.0","97,400.0","7420000","1.53%"
"23/09/2025","98,000.0","100,000.0","100,000.0","97,500.0","18290000","-1.71%"
"22/09/2025","99,700.0","102,500.0","102,700.0","99,600.0","16280000","-3.20%"
"19/09/2025","103,000.0","103,800.0","103,800.0","100,500.0","23510000","0.00%"
"18/09/2025","103,000.0","106,000.0","106,300.0","103,000.0","8200000","-2.37%"
"17/09/2025","105,500.0","104,000.0","107,800.0","104,000.0","20020000","1.93%"
"16/09/2025","103,500.0","102,700.0","104,800.0","102,000.0","17530000","1.57%"
"15/09/2025","101,900.0","101,900.0","103,500.0","101,500.0","14120000","0.30%"
"12/09/2025","101,600.0","102,000.0","102,900.0","101,100.0","7450000","-0.39%"
"11/09/2025","102,000.0","101,200.0","102,900.0","100,500.0","7410000","0.79%"
"10/09/2025","101,200.0","102,100.0","102,900.0","101,100.0","5500000","-0.88%"
"09/09/2025","102,100.0","102,000.0","103,000.0","101,000.0","6460000","0.20%"
"08/09/2025","101,900.0","103,000.0","103,900.0","101,900.0","10600000","-1.45%"
"05/09/2025","103,400.0","105,200.0","105,500.0","103,400.0","8810000","-1.52%"
"04/09/2025","105,000.0","103,300.0","105,500.0","103,200.0","11030000","1.74%"
"03/09/2025","103,200.0","102,000.0","103,300.0","100,000.0","9740000","1.57%"
"29/08/2025","101,600.0","105,000.0","105,000.0","101,600.0","11090000","-2.78%"
"28/08/2025","104,500.0","105,100.0","105,100.0","102,800.0","6280000","-0.48%"
"27/08/2025","105,000.0","101,400.0","105,100.0","101,200.0","19440000","5.00%"
"26/08/2025","100,000.0","98,800.0","100,000.0","97,900.0","5810000","1.21%"
"25/08/2025","98,800.0","102,000.0","102,000.0","98,800.0","6740000","-0.20%"
"22/08/2025","99,000.0","101,600.0","101,600.0","98,800.0","7210000","-2.65%"
"21/08/2025","101,700.0","97,700.0","102,900.0","97,700.0","12620000","4.09%"
"20/08/2025","97,700.0","100,100.0","100,300.0","97,500.0","19970000","-2.59%"
"19/08/2025","100,300.0","100,600.0","101,500.0","100,000.0","9150000","-0.20%"
"18/08/2025","100,500.0","101,400.0","103,000.0","100,000.0","11390000","-0.89%"
"15/08/2025","101,400.0","103,800.0","104,800.0","101,300.0","18620000","-2.31%"
"14/08/2025","103,800.0","105,800.0","105,800.0","103,700.0","17910000","-1.24%"
"13/08/2025","105,100.0","107,600.0","107,800.0","104,900.0","21850000","-2.23%"
"12/08/2025","107,500.0","107,400.0","108,200.0","106,600.0","11010000","1.03%"
"11/08/2025","106,400.0","105,900.0","109,500.0","105,300.0","10280000","0.76%"
"08/08/2025","105,600.0","106,500.0","107,400.0","104,800.0","9180000","-0.56%"
"07/08/2025","106,200.0","105,600.0","107,400.0","104,900.0","9570000","1.24%"
"06/08/2025","104,900.0","106,000.0","106,200.0","104,500.0","11810000","-0.85%"
"05/08/2025","105,800.0","107,000.0","108,700.0","105,000.0","11400000","-0.75%"
"04/08/2025","106,600.0","106,500.0","106,600.0","104,800.0","4620000","-0.37%"
"01/08/2025","107,000.0","103,700.0","107,400.0","101,500.0","10890000","2.88%"
"31/07/2025","104,000.0","106,100.0","106,900.0","103,800.0","8940000","-1.98%"
"30/07/2025","106,100.0","107,000.0","108,000.0","105,300.0","7490000","0.09%"
"29/07/2025","106,000.0","111,300.0","111,600.0","106,000.0","16060000","-4.76%"
"28/07/2025","111,300.0","110,800.0","111,600.0","110,500.0","7610000","0.54%"
"25/07/2025","110,700.0","111,100.0","111,500.0","110,500.0","5140000","-0.36%"
"24/07/2025","111,100.0","112,000.0","112,100.0","110,800.0","6420000","-0.63%"
"23/07/2025","111,800.0","112,300.0","112,800.0","111,300.0","4800000","-0.27%"
"22/07/2025","112,100.0","110,300.0","112,200.0","108,700.0","6890000","1.63%"
"21/07/2025","110,300.0","112,400.0","112,400.0","110,300.0","7560000","0.67%"
"18/07/2025","109,565.2","111,304.3","111,304.3","109,565.2","7470000","-0.79%"
"17/07/2025","110,434.8","110,173.9","112,260.8","109,565.2","9580000","0.55%"
"16/07/2025","109,826.1","110,173.9","110,434.8","108,782.6","5820000","0.24%"
"15/07/2025","109,565.2","110,086.9","111,130.4","109,565.2","6440000","-0.87%"
"14/07/2025","110,521.7","110,608.7","111,217.4","108,695.6","6880000","0.39%"
"11/07/2025","110,086.9","108,695.6","111,304.3","108,347.8","12350000","2.18%"
"10/07/2025","107,739.1","107,652.1","108,956.5","107,391.3","5960000","0.90%"
"09/07/2025","106,782.6","108,521.7","108,608.7","106,347.8","14030000","-1.37%"
"08/07/2025","108,260.8","107,913.0","109,304.3","107,826.1","9270000","0.57%"
"07/07/2025","107,652.1","107,217.4","108,434.8","106,956.5","7340000","1.06%"
