"Date","Last","Open","High","Low","Vol.","Change %"
"31/12/2025","77,000","76,700","77,200","76,100","4730000","0.13%"
"30/12/2025","76,900","75,700","76,900","75,500","4150000","1.85%"
"29/12/2025","75,500","75,300","75,500","74,600","2510000","0.27%"
"26/12/2025","75,300","76,000","76,000","73,100","6070000","-1.31%"
"25/12/2025","76,300","76,500","77,000","76,000","3230000","0.13%"
"24/12/2025","76,200","75,600","76,200","75,100","3230000","0.13%"
"23/12/2025","76,100","76,300","77,300","75,600","5200000","0.13%"
"22/12/2025","76,000","76,000","76,200","75,500","3460000","0.26%"
"19/12/2025","75,800","74,300","75,800","74,000","4350000","2.43%"
"18/12/2025","74,000","74,400","74,400","73,500","3140000","0.00%"
"17/12/2025","74,000","74,600","75,000","74,000","3570000","-0.67%"
"16/12/2025","74,500","73,900","75,200","73,000","4400000","1.36%"
"15/12/2025","73,500","73,200","74,300","73,000","4190000","0.00%"
"12/12/2025","73,500","76,500","76,600","73,100","8980000","-3.42%"
"11/12/2025","76,100","77,400","77,600","76,000","3520000","-1.17%"
"10/12/2025","77,000","77,100","77,400","76,600","3190000","0.00%"
"09/12/2025","77,000","77,900","78,000","76,600","6840000","-1.16%"
"08/12/2025","77,900","78,000","78,800","77,900","4070000","-0.38%"
"05/12/2025","78,200","80,200","80,600","78,200","6660000","-2.13%"
"04/12/2025","79,900","81,300","81,300","79,900","5310000","-0.87%"
"03/12/2025","80,600","79,200","81,200","78,900","12180000","2.54%"
"02/12/2025","78,600","78,900","79,500","78,000","4650000","-0.25%"
"01/12/2025","78,800","77,800","79,200","77,700","5360000","1.81%"
"28/11/2025","77,400","78,800","79,000","77,400","4240000","-1.40%"
"27/11/2025","78,500","78,900","79,800","78,400","4490000","-0.13%"
"26/11/2025","78,600","77,500","78,600","77,300","3200000","2.08%"
"25/11/2025","77,000","78,000","78,700","77,000","3740000","-1.03%"
"24/11/2025","77,800","77,700","79,000","77,700","3380000","0.39%"
"21/11/2025","77,500","78,400","78,400","77,200","4020000","-1.27%"
"20/11/2025","78,500","78,900","79,100","78,500","3400000","-0.38%"
"19/11/2025","78,800","79,000","79,600","78,500","3470000","-0.25%"
"18/11/2025","79,000","79,800","80,300","78,500","4590000","-0.88%"
"17/11/2025","79,700","78,800","80,000","78,300","5530000","2.18%"
"14/11/2025","78,000","78,600","79,300","77,600","5140000","-1.27%"
"13/11/2025","79,000","79,300","79,700","78,900","4590000","-0.25%"
"12/11/2025","79,200","78,500","79,500","78,300","5010000","1.28%"
"11/11/2025","78,200","76,500","78,900","76,400","7670000","2.89%"
"10/11/2025","76,000","77,100","78,300","76,000","5030000","-1.04%"
"07/11/2025","76,800","78,200","79,700","76,800","7310000","-2.54%"
"06/11/2025","78,800","80,100","80,100","78,800","4650000","-1.75%"
"05/11/2025","80,200","79,900","81,500","79,100","8830000","0.25%"
"04/11/2025","80,000","76,800","80,500","74,400","12600000","3.90%"
"03/11/2025","77,000","79,600","79,800","77,000","7670000","-3.27%"
"31/10/2025","79,600","79,400","80,800","79,000","6480000","0.38%"
"30/10/2025","79,300","79,700","80,600","79,300","6830000","0.13%"
"29/10/2025","79,200","79,100","80,600","78,500","8380000","0.25%"
"28/10/2025","79,000","78,600","79,000","76,200","7890000","0.64%"
"27/10/2025","78,500","79,600","79,800","77,400","7510000","-1.01%"
"24/10/2025","79,300","77,900","79,500","75,700","13520000","1.41%"
"23/10/2025","78,200","79,600","80,000","77,600","9730000","-1.01%"
"22/10/2025","79,000","79,900","80,600","77,400","13810000","1.28%"
"21/10/2025","78,000","79,900","80,000","76,200","28570000","-4.76%"
"20/10/2025","81,900","87,000","88,800","81,900","31680000","-6.93%"
"17/10/2025","88,000","91,400","94,000","88,000","32810000","-0.23%"
"16/10/2025","88,200","85,000","88,200","84,800","17210000","6.91%"
"15/10/2025","82,500","83,000","83,700","82,500","6590000","0.00%"
"14/10/2025","82,500","85,600","85,600","82,500","12780000","-2.94%"
"13/10/2025","85,000","83,600","85,800","83,600","12630000","1.07%"
"10/10/2025","84,100","83,500","84,200","83,000","13450000","1.20%"
"09/10/2025","83,100","82,900","84,200","82,700","7330000","0.61%"
"08/10/2025","82,600","83,700","84,400","82,600","11320000","0.12%"
"07/10/2025","82,500","83,300","83,400","82,500","5200000","-0.60%"
"06/10/2025","83,000","81,400","83,300","81,000","8980000","3.75%"
"03/10/2025","80,000","81,200","81,200","79,400","6480000","-1.84%"
"02/10/2025","81,500","81,500","82,100","81,000","3780000","0.25%"
"01/10/2025","81,300","81,100","82,300","81,100","3190000","0.37%"
"30/09/2025","81,000","82,000","82,000","80,500","4730000","-0.98%"
"29/09/2025","81,800","82,200","82,500","81,300","4300000","-0.49%"
"26/09/2025","82,200","82,200","83,500","82,000","6730000","0.00%"
"25/09/2025","82,200","83,500","83,600","82,200","4590000","-0.84%"
"24/09/2025","82,900","82,000","83,700","81,100","5240000","1.22%"
"23/09/2025","81,900","81,900","82,600","81,500","3810000","0.00%"
"22/09/2025","81,900","83,900","84,000","81,000","8820000","-2.38%"
"19/09/2025","83,900","84,600","84,700","83,300","10380000","-0.12%"
"18/09/2025","84,000","84,400","85,200","83,500","6730000","-0.24%"
"17/09/2025","84,200","86,600","86,900","84,200","11520000","-3.00%"
"16/09/2025","86,800","89,000","89,000","86,800","13160000","-1.92%"
"15/09/2025","88,500","86,800","89,000","86,300","16600000","2.91%"
"12/09/2025","86,000","82,300","86,900","81,600","21810000","4.88%"
"11/09/2025","82,000","80,800","82,300","79,100","10200000","1.23%"
"10/09/2025","81,000","81,400","81,400","80,000","4260000","0.00%"
"09/09/2025","81,000","81,000","81,300","79,800","6000000","0.00%"
"08/09/2025","81,000","82,600","83,300","80,000","13950000","-2.41%"
"05/09/2025","83,000","86,300","87,400","83,000","12010000","-2.12%"
"04/09/2025","84,800","83,500","85,300","82,000","13230000","2.17%"
"03/09/2025","83,000","83,500","85,300","82,900","9530000","0.00%"
"29/08/2025","83,000","83,200","83,600","82,200","7420000","-0.12%"
"28/08/2025","83,100","82,500","83,300","81,900","6540000","1.09%"
"27/08/2025","82,200","81,300","82,800","81,200","8100000","1.36%"
"26/08/2025","81,100","78,700","81,100","78,200","8580000","2.01%"
"25/08/2025","79,500","81,300","81,800","78,300","10290000","-1.85%"
"22/08/2025","81,000","83,000","83,400","79,700","18640000","-3.91%"
"21/08/2025","84,300","83,900","84,800","83,300","9700000","0.48%"
"20/08/2025","83,900","86,800","87,400","81,000","19060000","-1.29%"
"19/08/2025","85,000","84,500","86,500","83,200","14530000","1.31%"
"18/08/2025","83,900","83,100","84,400","83,000","8970000","0.96%"
"15/08/2025","83,100","84,800","86,200","82,700","13660000","-2.00%"
"14/08/2025","84,800","86,600","86,800","83,800","13530000","-1.28%"
"13/08/2025","85,900","84,400","87,400","82,100","24210000","2.75%"
"12/08/2025","83,600","85,000","86,000","82,300","13210000","1.95%"
"11/08/2025","82,000","77,900","82,000","77,800","29730000","6.91%"
"08/08/2025","76,700","76,500","77,700","75,600","11380000","0.66%"
"07/08/2025","76,200","76,400","77,800","75,800","9820000","0.26%"
"06/08/2025","76,000","75,600","76,800","75,200","9660000","1.88%"
"05/08/2025","74,600","74,000","77,200","73,500","18440000","0.95%"
"04/08/2025","73,900","72,100","74,000","71,800","5920000","1.93%"
