"Date","Last","Open","High","Low","Vol.","Change %"
"31/12/2025","13,350","13,950","14,050","13,350","7440000","-3.96%"
"30/12/2025","13,900","14,550","14,650","13,900","8450000","-1.77%"
"29/12/2025","14,150","13,550","14,150","13,550","15250000","6.79%"
"26/12/2025","13,250","13,400","13,500","12,650","10170000","-0.38%"
"25/12/2025","13,300","13,350","13,900","13,300","8750000","-0.75%"
"24/12/2025","13,400","13,450","13,700","13,250","6450000","-0.37%"
"23/12/2025","13,450","13,900","13,900","13,400","7110000","-2.54%"
"22/12/2025","13,800","13,800","13,950","13,650","6440000","-0.36%"
"19/12/2025","13,850","13,300","13,850","13,250","7580000","4.53%"
"18/12/2025","13,250","13,450","13,450","13,050","3940000","0.00%"
"17/12/2025","13,250","13,550","13,550","13,250","4330000","-2.21%"
"16/12/2025","13,550","13,200","13,850","13,000","6460000","1.88%"
"15/12/2025","13,300","13,250","13,550","13,200","6700000","-0.37%"
"12/12/2025","13,350","14,350","14,500","13,350","12520000","-6.97%"
"11/12/2025","14,350","14,400","14,750","14,300","4060000","-0.69%"
"10/12/2025","14,450","14,500","14,500","14,150","5170000","0.00%"
"09/12/2025","14,450","14,600","14,600","14,100","8490000","-1.70%"
"08/12/2025","14,700","14,850","14,850","14,400","6040000","-1.01%"
"05/12/2025","14,850","15,000","15,050","14,650","5800000","-1.00%"
"04/12/2025","15,000","15,100","15,250","14,950","6950000","0.00%"
"03/12/2025","15,000","15,100","15,150","14,800","6330000","1.01%"
"02/12/2025","14,850","14,750","14,900","14,250","10770000","0.68%"
"01/12/2025","14,750","14,850","15,200","14,600","5730000","-0.34%"
"28/11/2025","14,800","14,800","15,050","14,100","12700000","-0.34%"
"27/11/2025","14,850","15,550","15,550","14,800","16190000","-4.19%"
"26/11/2025","15,500","15,350","15,700","15,300","10760000","1.31%"
"25/11/2025","15,300","15,800","15,900","15,200","11230000","-3.16%"
"24/11/2025","15,800","15,650","16,100","15,500","19920000","2.60%"
"21/11/2025","15,400","14,900","15,550","14,900","11320000","1.99%"
"20/11/2025","15,100","15,600","15,700","14,950","13180000","-3.51%"
"19/11/2025","15,650","15,650","16,150","15,400","20150000","-1.26%"
"18/11/2025","15,850","15,800","16,100","15,300","36690000","4.97%"
"17/11/2025","15,100","14,800","15,100","14,600","18480000","6.71%"
"14/11/2025","14,150","13,350","14,150","13,350","22450000","6.79%"
"13/11/2025","13,250","13,300","13,450","13,200","8980000","1.53%"
"12/11/2025","13,050","12,300","13,050","12,250","6250000","6.97%"
"11/11/2025","12,200","12,400","12,500","12,050","10980000","-0.81%"
"10/11/2025","12,300","12,900","13,000","12,300","12960000","-5.38%"
"07/11/2025","13,000","13,500","13,600","12,950","8440000","-3.70%"
"06/11/2025","13,500","13,750","13,750","13,500","4050000","-1.82%"
"05/11/2025","13,750","13,600","13,850","13,450","11130000","2.61%"
"04/11/2025","13,400","12,900","13,450","12,500","17600000","3.88%"
"03/11/2025","12,900","13,400","13,650","12,900","12430000","-5.49%"
"31/10/2025","13,650","13,800","13,800","13,600","5330000","-1.09%"
"30/10/2025","13,800","13,600","14,100","13,600","6210000","1.85%"
"29/10/2025","13,550","13,400","13,900","13,250","8470000","1.12%"
"28/10/2025","13,400","13,800","13,800","12,900","29810000","-2.90%"
"27/10/2025","13,800","14,400","14,500","13,800","14410000","-3.50%"
"24/10/2025","14,300","14,250","14,500","14,100","19340000","0.70%"
"23/10/2025","14,200","14,050","14,500","14,050","13100000","1.43%"
"22/10/2025","14,000","14,500","15,150","13,550","48490000","-2.78%"
"21/10/2025","14,400","14,600","14,900","14,400","29860000","-6.80%"
"20/10/2025","15,450","15,450","15,800","15,450","70810000","-6.93%"
"17/10/2025","16,600","16,250","16,950","16,050","32460000","2.15%"
"16/10/2025","16,250","15,700","16,450","15,700","28950000","4.17%"
"15/10/2025","15,600","15,750","15,750","15,450","8840000","0.65%"
"14/10/2025","15,500","16,150","16,200","15,450","17240000","-3.13%"
"13/10/2025","16,000","15,400","16,200","15,250","22280000","2.56%"
"10/10/2025","15,600","15,450","16,000","15,450","15220000","1.96%"
"09/10/2025","15,300","15,300","15,550","15,250","7300000","0.00%"
"08/10/2025","15,300","15,650","15,700","15,100","12920000","-0.65%"
"07/10/2025","15,400","15,850","15,850","15,400","7030000","-2.53%"
"06/10/2025","15,800","15,250","15,900","15,250","12690000","4.64%"
"03/10/2025","15,100","15,400","15,450","15,100","13090000","-2.58%"
"02/10/2025","15,500","15,700","15,700","15,400","7260000","-0.96%"
"01/10/2025","15,650","15,250","15,700","15,250","8160000","2.62%"
"30/09/2025","15,250","15,750","15,750","15,000","14860000","-2.24%"
"29/09/2025","15,600","15,650","15,900","15,550","9390000","0.00%"
"26/09/2025","15,600","16,000","16,000","15,600","13750000","-2.50%"
"25/09/2025","16,000","16,200","16,350","15,900","13430000","-0.93%"
"24/09/2025","16,150","15,850","16,300","15,650","13560000","3.19%"
"23/09/2025","15,650","15,800","16,200","15,650","9060000","0.32%"
"22/09/2025","15,600","16,150","16,200","15,550","16670000","-2.19%"
"19/09/2025","15,950","15,250","16,150","15,100","27260000","5.63%"
"18/09/2025","15,100","15,500","15,700","15,000","21070000","-2.58%"
"17/09/2025","15,500","15,700","15,900","15,500","10510000","-1.27%"
"16/09/2025","15,700","16,000","16,150","15,650","13650000","0.32%"
"15/09/2025","15,650","15,400","15,850","15,400","16660000","-0.63%"
"12/09/2025","15,750","15,900","16,250","15,750","12710000","0.32%"
"11/09/2025","15,700","15,750","15,800","15,100","19300000","-0.63%"
"10/09/2025","15,800","16,450","16,450","15,550","23530000","-2.77%"
"09/09/2025","16,250","16,200","16,450","15,850","20830000","0.31%"
"08/09/2025","16,200","17,200","17,500","16,200","28860000","-6.36%"
"05/09/2025","17,300","17,350","18,000","17,300","34510000","0.58%"
"04/09/2025","17,200","17,500","17,600","17,150","14350000","-0.58%"
"03/09/2025","17,300","17,000","17,550","16,950","19690000","2.98%"
"29/08/2025","16,800","16,950","17,300","16,750","21820000","0.60%"
"28/08/2025","16,700","17,000","17,000","16,450","10970000","-0.60%"
"27/08/2025","16,800","17,000","17,450","16,800","17630000","0.00%"
"26/08/2025","16,800","16,050","16,800","16,000","13390000","4.67%"
"25/08/2025","16,050","16,050","16,350","15,900","14930000","0.94%"
"22/08/2025","15,900","16,600","16,650","15,800","40670000","-5.64%"
"21/08/2025","16,850","17,500","17,600","16,700","30690000","-3.16%"
"20/08/2025","17,400","18,000","18,100","16,900","42160000","-3.33%"
"19/08/2025","18,000","18,000","18,700","17,500","57220000","0.00%"
