"Date","Last","Open","High","Low","Vol.","Change %"
"31/12/2025","57,500","57,400","57,900","57,300","2530000","0.35%"
"30/12/2025","57,300","57,300","58,100","57,200","2960000","0.35%"
"29/12/2025","57,100","57,400","57,500","57,100","2100000","0.00%"
"26/12/2025","57,100","57,100","57,400","56,600","3300000","0.00%"
"25/12/2025","57,100","57,000","57,900","57,000","3970000","0.18%"
"24/12/2025","57,000","57,300","57,300","56,900","4430000","-0.35%"
"23/12/2025","57,200","57,800","58,100","57,000","3150000","-1.04%"
"22/12/2025","57,800","57,700","58,000","57,300","2960000","0.52%"
"19/12/2025","57,500","57,000","57,500","56,700","4270000","1.23%"
"18/12/2025","56,800","57,200","57,500","56,700","3080000","0.18%"
"17/12/2025","56,700","57,000","57,500","56,700","2330000","-0.35%"
"16/12/2025","56,900","56,900","57,400","56,000","6350000","0.18%"
"15/12/2025","56,800","56,800","57,300","56,700","3200000","0.00%"
"12/12/2025","56,800","57,800","57,800","56,800","4850000","-1.39%"
"11/12/2025","57,600","58,400","58,400","57,600","1750000","-1.03%"
"10/12/2025","58,200","58,300","58,600","57,800","3080000","0.34%"
"09/12/2025","58,000","57,900","58,700","57,300","4520000","0.17%"
"08/12/2025","57,900","58,200","58,300","57,800","2140000","-0.69%"
"05/12/2025","58,300","59,000","59,200","58,200","3600000","-1.02%"
"04/12/2025","58,900","59,000","59,400","58,700","2920000","0.00%"
"03/12/2025","58,900","57,800","59,100","57,800","6160000","2.26%"
"02/12/2025","57,600","57,500","57,800","57,200","3190000","0.17%"
"01/12/2025","57,500","57,600","58,000","57,500","2820000","0.17%"
"28/11/2025","57,400","58,000","58,100","57,400","3530000","-0.86%"
"27/11/2025","57,900","58,200","58,500","57,900","3110000","-0.34%"
"26/11/2025","58,100","58,500","58,600","57,800","5370000","-0.17%"
"25/11/2025","58,200","58,900","59,000","58,200","2760000","-1.02%"
"24/11/2025","58,800","59,000","59,300","58,700","2030000","-0.34%"
"21/11/2025","59,000","59,100","59,200","58,700","3450000","-0.67%"
"20/11/2025","59,400","59,600","59,700","59,200","2260000","0.00%"
"19/11/2025","59,400","59,900","60,100","59,300","3200000","-0.83%"
"18/11/2025","59,900","60,400","60,400","59,800","2160000","-0.50%"
"17/11/2025","60,200","60,000","60,400","59,900","1590000","0.33%"
"14/11/2025","60,000","59,800","60,400","59,400","2070000","0.33%"
"13/11/2025","59,800","59,500","60,000","59,200","2110000","0.50%"
"12/11/2025","59,500","59,100","59,700","59,000","2010000","1.02%"
"11/11/2025","58,900","59,100","59,600","58,800","2540000","0.17%"
"10/11/2025","58,800","59,400","59,700","58,800","2320000","-0.84%"
"07/11/2025","59,300","60,000","60,000","59,000","3590000","-1.66%"
"06/11/2025","60,300","60,900","61,300","60,200","2820000","-0.82%"
"05/11/2025","60,800","60,000","61,100","59,900","4600000","1.16%"
"04/11/2025","60,100","59,200","60,400","59,100","2950000","1.35%"
"03/11/2025","59,300","60,000","60,300","59,300","2800000","-0.50%"
"31/10/2025","59,600","60,800","60,800","59,600","2120000","-1.65%"
"30/10/2025","60,600","61,000","61,200","60,300","1950000","-0.16%"
"29/10/2025","60,700","60,000","61,000","59,800","3720000","1.17%"
"28/10/2025","60,000","59,200","60,200","59,100","2790000","1.35%"
"27/10/2025","59,200","60,000","60,000","59,200","2640000","-0.50%"
"24/10/2025","59,500","59,800","59,900","58,800","4370000","-0.50%"
"23/10/2025","59,800","58,900","60,300","58,900","4230000","0.34%"
"22/10/2025","59,600","60,100","60,200","58,500","4660000","0.51%"
"21/10/2025","59,300","59,700","60,700","59,300","8420000","-0.17%"
"20/10/2025","59,400","61,800","62,200","58,600","12120000","-4.04%"
"17/10/2025","61,900","62,900","62,900","61,800","5410000","-1.59%"
"16/10/2025","62,900","62,700","63,000","62,500","4630000","0.64%"
"15/10/2025","62,500","63,100","63,400","62,500","5220000","-0.95%"
"14/10/2025","63,100","63,500","64,000","62,900","7010000","0.00%"
"13/10/2025","63,100","63,400","63,800","62,800","7990000","-1.71%"
"10/10/2025","64,200","63,900","64,400","63,600","4990000","0.63%"
