"Date","Last","Open","High","Low","Vol.","Change %"
"31/12/2025","124,000","117,500","125,700","115,800","6830000","5.53%"
"30/12/2025","117,500","120,000","120,600","113,000","6670000","-0.17%"
"29/12/2025","117,700","111,900","117,700","111,000","7320000","7.00%"
"26/12/2025","110,000","106,300","111,000","106,300","16550000","-3.76%"
"25/12/2025","114,300","124,000","131,300","114,300","10700000","-6.92%"
"24/12/2025","122,800","117,300","122,900","114,500","9950000","6.88%"
"23/12/2025","114,900","108,500","114,900","107,600","7780000","6.98%"
"22/12/2025","107,400","104,000","107,400","102,200","4780000","5.81%"
"19/12/2025","101,500","95,300","101,500","95,100","5350000","6.95%"
"18/12/2025","94,900","94,900","95,000","93,500","3360000","0.00%"
"17/12/2025","94,900","94,900","95,300","92,700","3310000","-0.11%"
"16/12/2025","95,000","91,300","95,700","90,500","5670000","2.70%"
"15/12/2025","92,500","94,800","96,000","91,100","5410000","-1.70%"
"12/12/2025","94,100","101,000","101,000","94,100","6640000","-6.92%"
"11/12/2025","101,100","101,800","103,300","101,100","3120000","-2.32%"
"10/12/2025","103,500","107,000","107,000","100,200","7910000","-3.72%"
"09/12/2025","107,500","110,800","111,400","104,700","7600000","-2.27%"
"08/12/2025","110,000","107,000","110,000","106,000","4600000","2.80%"
"05/12/2025","107,000","105,000","108,500","104,800","5140000","1.71%"
"04/12/2025","105,200","106,200","106,200","104,200","4580000","-1.50%"
"03/12/2025","106,800","106,900","107,000","104,800","4480000","0.00%"
"02/12/2025","106,800","105,900","106,800","103,600","4530000","1.04%"
"01/12/2025","105,700","104,000","107,300","103,000","5880000","2.72%"
"28/11/2025","102,900","102,000","103,300","101,300","3430000","0.39%"
"27/11/2025","102,500","102,500","103,600","101,300","3140000","0.39%"
"26/11/2025","102,100","102,800","102,900","100,100","4380000","-0.49%"
"25/11/2025","102,600","103,400","104,000","101,200","4460000","-0.10%"
"24/11/2025","102,700","99,300","104,000","98,700","6060000","3.42%"
"21/11/2025","99,300","96,100","99,300","96,100","3950000","1.53%"
"20/11/2025","97,800","96,700","98,400","96,000","3350000","0.93%"
"19/11/2025","96,900","96,900","96,900","95,300","3740000","-0.10%"
"18/11/2025","97,000","95,700","97,000","94,000","3670000","2.11%"
"17/11/2025","95,000","94,000","96,300","94,000","4100000","1.17%"
"14/11/2025","93,900","93,000","93,900","90,500","3280000","0.64%"
"13/11/2025","93,300","94,500","94,900","91,600","4290000","-0.74%"
"12/11/2025","94,000","90,100","95,000","90,100","4720000","4.44%"
"11/11/2025","90,000","86,900","91,400","86,900","8470000","3.57%"
"10/11/2025","86,900","90,200","92,000","86,900","6350000","-5.54%"
"07/11/2025","92,000","97,500","98,000","92,000","9790000","-6.98%"
"06/11/2025","98,900","99,600","101,500","97,600","4590000","-0.70%"
"05/11/2025","99,600","101,200","101,700","99,500","3050000","-0.60%"
"04/11/2025","100,200","98,400","102,000","98,400","4560000","1.73%"
"03/11/2025","98,500","99,600","101,400","97,800","5080000","-0.71%"
"31/10/2025","99,200","103,800","103,800","99,200","6460000","-4.62%"
"30/10/2025","104,000","103,800","105,000","100,800","3690000","0.19%"
"29/10/2025","103,800","107,100","107,100","102,700","3680000","-2.99%"
"28/10/2025","107,000","104,200","107,000","99,100","13560000","0.47%"
"27/10/2025","106,500","115,000","116,000","106,500","7160000","-6.99%"
"24/10/2025","114,500","114,600","116,800","112,500","5140000","-0.43%"
"23/10/2025","115,000","113,000","117,100","111,200","6380000","1.77%"
"22/10/2025","113,000","112,000","113,000","104,000","7700000","1.89%"
"21/10/2025","110,900","109,000","115,000","106,900","8240000","2.69%"
"20/10/2025","108,000","114,000","115,000","108,000","11630000","-6.90%"
"17/10/2025","116,000","122,000","122,000","114,600","12210000","-4.92%"
"16/10/2025","122,000","123,800","123,800","120,400","9480000","-1.61%"
"15/10/2025","124,000","127,500","127,600","122,600","7060000","-2.36%"
"14/10/2025","127,000","124,500","131,500","124,500","13660000","2.25%"
"13/10/2025","124,200","123,000","126,000","122,100","12310000","0.98%"
"10/10/2025","123,000","118,000","123,000","116,000","9030000","6.96%"
"09/10/2025","115,000","108,300","115,000","108,100","12890000","6.98%"
"08/10/2025","107,500","103,500","107,500","101,200","8990000","4.27%"
"07/10/2025","103,100","103,000","104,600","102,200","6430000","0.39%"
"06/10/2025","102,700","103,900","103,900","100,500","5970000","2.70%"
"03/10/2025","100,000","98,600","100,000","96,000","4680000","1.42%"
"02/10/2025","98,600","101,200","102,000","98,600","5820000","-2.57%"
"01/10/2025","101,200","103,000","104,500","100,800","3500000","-1.75%"
"30/09/2025","103,000","102,500","105,800","102,100","4880000","1.08%"
"29/09/2025","101,900","98,900","105,300","97,600","6460000","2.93%"
"26/09/2025","99,000","99,800","101,500","98,500","3790000","-0.50%"
"25/09/2025","99,500","97,000","99,900","96,100","4720000","1.53%"
"24/09/2025","98,000","97,800","98,400","95,300","4720000","-0.71%"
"23/09/2025","98,700","98,200","99,100","96,500","3230000","-0.80%"
"22/09/2025","99,500","101,800","103,200","94,600","10800000","-2.16%"
"19/09/2025","101,700","104,000","104,200","99,800","7550000","-1.74%"
"18/09/2025","103,500","104,100","108,200","102,500","5720000","0.58%"
"17/09/2025","102,900","102,000","104,400","101,200","3420000","0.19%"
"16/09/2025","102,700","104,700","104,700","102,700","2010000","-1.72%"
"15/09/2025","104,500","104,000","104,700","102,500","2940000","-0.95%"
"12/09/2025","105,500","104,100","106,000","103,000","2390000","-0.38%"
"11/09/2025","105,900","100,900","106,000","100,100","4050000","4.03%"
"10/09/2025","101,800","101,500","102,400","99,700","3900000","0.39%"
"09/09/2025","101,400","100,000","101,400","98,800","2850000","1.40%"
"08/09/2025","100,000","99,000","101,000","98,800","3230000","0.00%"
"05/09/2025","100,000","100,500","103,500","100,000","4190000","-2.25%"
"04/09/2025","102,300","102,000","102,500","99,200","5500000","-0.39%"
"03/09/2025","102,700","103,100","103,700","101,000","3220000","-1.72%"
"29/08/2025","104,500","104,600","104,800","102,500","4250000","-0.10%"
"28/08/2025","104,600","104,600","106,000","101,800","3290000","0.00%"
"27/08/2025","104,600","105,300","106,900","102,100","3020000","-0.57%"
"26/08/2025","105,200","98,400","105,200","97,000","6410000","6.91%"
"25/08/2025","98,400","98,000","101,900","96,500","5060000","0.31%"
"22/08/2025","98,100","97,500","99,000","95,300","6240000","-1.70%"
"21/08/2025","99,800","97,000","99,900","97,000","4880000","0.81%"
"20/08/2025","99,000","94,000","99,000","92,700","9090000","5.43%"
"19/08/2025","93,900","93,600","94,500","92,200","4160000","0.00%"
