"Date","Last","Open","High","Low","Vol.","Change %"
"31/12/2025","58,000.0","59,600.0","60,200.0","58,000.0","14590000","-3.33%"
"30/12/2025","60,000.0","60,300.0","60,800.0","58,500.0","19180000","0.17%"
"29/12/2025","59,900.0","58,200.0","60,400.0","58,100.0","22400000","4.17%"
"26/12/2025","57,500.0","55,500.0","57,500.0","53,100.0","17490000","2.86%"
"25/12/2025","55,900.0","58,300.0","58,600.0","55,900.0","15350000","-4.77%"
"24/12/2025","58,700.0","58,800.0","58,800.0","56,600.0","19980000","4.82%"
"23/12/2025","56,000.0","54,700.0","56,000.0","54,200.0","8410000","6.87%"
"22/12/2025","52,400.0","49,300.0","52,400.0","48,600.0","13020000","6.94%"
"19/12/2025","49,000.0","47,700.0","49,000.0","47,700.0","7230000","2.08%"
"18/12/2025","48,000.0","47,000.0","48,000.0","46,900.0","5520000","1.69%"
"17/12/2025","47,200.0","47,200.0","47,800.0","47,100.0","4060000","0.32%"
"16/12/2025","47,050.0","46,500.0","48,200.0","46,500.0","5420000","0.53%"
"15/12/2025","46,800.0","46,050.0","47,200.0","45,950.0","6050000","1.74%"
"12/12/2025","46,000.0","47,700.0","48,500.0","46,000.0","8810000","-3.56%"
"11/12/2025","47,700.0","48,400.0","48,600.0","47,700.0","6160000","-1.85%"
"10/12/2025","48,600.0","48,450.0","48,650.0","48,400.0","5980000","0.10%"
"09/12/2025","48,550.0","48,350.0","49,250.0","48,050.0","10650000","-0.31%"
"08/12/2025","48,700.0","49,200.0","49,250.0","48,700.0","4220000","-1.02%"
"05/12/2025","49,200.0","50,600.0","50,600.0","49,200.0","6090000","-1.99%"
"04/12/2025","50,200.0","50,000.0","51,000.0","49,950.0","7180000","1.01%"
"03/12/2025","49,700.0","49,200.0","50,900.0","49,200.0","7310000","0.61%"
"02/12/2025","49,400.0","49,000.0","49,650.0","49,000.0","5480000","0.82%"
"01/12/2025","49,000.0","48,700.0","49,600.0","48,650.0","3340000","0.82%"
"28/11/2025","48,600.0","49,000.0","49,550.0","48,600.0","4670000","-1.42%"
"27/11/2025","49,300.0","49,800.0","50,600.0","49,300.0","3670000","-1.30%"
"26/11/2025","49,950.0","50,100.0","51,200.0","49,950.0","7620000","-0.10%"
"25/11/2025","50,000.0","50,000.0","51,000.0","49,750.0","5220000","0.00%"
"24/11/2025","50,000.0","51,500.0","51,500.0","50,000.0","6120000","-2.53%"
"21/11/2025","51,300.0","49,050.0","51,300.0","48,900.0","10130000","3.64%"
"20/11/2025","49,500.0","49,500.0","49,800.0","49,100.0","5900000","0.00%"
"19/11/2025","49,500.0","49,450.0","50,300.0","49,050.0","9520000","0.00%"
"18/11/2025","49,500.0","48,900.0","49,650.0","48,500.0","8540000","1.23%"
"17/11/2025","48,900.0","48,100.0","49,050.0","47,900.0","10170000","1.77%"
"14/11/2025","48,050.0","48,600.0","48,650.0","47,400.0","14300000","-1.33%"
"13/11/2025","48,700.0","50,500.0","50,500.0","48,550.0","17040000","-3.75%"
"12/11/2025","50,600.0","49,700.0","50,600.0","48,850.0","8640000","1.91%"
"11/11/2025","49,650.0","48,700.0","49,650.0","47,450.0","8620000","2.37%"
"10/11/2025","48,500.0","48,500.0","49,400.0","48,350.0","8290000","0.31%"
"07/11/2025","48,350.0","51,700.0","51,900.0","48,350.0","20320000","-6.84%"
"06/11/2025","51,900.0","53,500.0","53,800.0","51,900.0","7750000","-2.99%"
"05/11/2025","53,500.0","53,500.0","54,500.0","53,200.0","4420000","-0.74%"
"04/11/2025","53,900.0","52,000.0","54,800.0","51,700.0","11570000","3.06%"
"03/11/2025","52,300.0","55,400.0","55,800.0","52,300.0","6620000","-5.77%"
"31/10/2025","55,500.0","56,700.0","57,200.0","55,500.0","3470000","-2.46%"
"30/10/2025","56,900.0","57,200.0","57,300.0","56,400.0","3280000","-0.52%"
"29/10/2025","57,200.0","56,800.0","58,100.0","56,500.0","5990000","0.70%"
"28/10/2025","56,800.0","54,400.0","56,800.0","53,600.0","6600000","4.03%"
"27/10/2025","54,600.0","54,500.0","55,300.0","53,500.0","4850000","0.18%"
"24/10/2025","54,500.0","55,200.0","55,500.0","53,600.0","7390000","-1.98%"
"23/10/2025","55,600.0","55,400.0","55,900.0","54,700.0","5820000","0.36%"
"22/10/2025","55,400.0","55,700.0","55,700.0","53,500.0","5680000","-0.36%"
"21/10/2025","55,600.0","55,500.0","55,600.0","53,000.0","11960000","1.28%"
"20/10/2025","54,900.0","58,600.0","58,800.0","54,900.0","13300000","-6.95%"
"17/10/2025","59,000.0","59,000.0","59,300.0","58,100.0","6670000","-0.84%"
"16/10/2025","59,500.0","60,100.0","60,400.0","58,500.0","10240000","-0.83%"
"15/10/2025","60,000.0","60,200.0","60,800.0","60,000.0","3810000","-0.99%"
"14/10/2025","60,600.0","61,100.0","61,300.0","60,100.0","7040000","-0.66%"
"13/10/2025","61,000.0","59,900.0","61,000.0","59,300.0","7740000","0.99%"
"10/10/2025","60,400.0","60,200.0","60,400.0","59,200.0","8200000","0.67%"
"09/10/2025","60,000.0","60,300.0","61,000.0","59,700.0","9590000","0.17%"
"08/10/2025","59,900.0","58,600.0","60,000.0","58,500.0","10390000","2.39%"
"07/10/2025","58,500.0","60,000.0","60,400.0","58,500.0","7500000","-2.17%"
"06/10/2025","59,800.0","58,000.0","59,800.0","57,100.0","10350000","4.91%"
"03/10/2025","57,000.0","58,600.0","58,600.0","57,000.0","9440000","-2.90%"
"02/10/2025","58,700.0","60,000.0","60,300.0","58,000.0","8410000","-1.84%"
"01/10/2025","59,800.0","57,100.0","59,800.0","56,700.0","18440000","5.10%"
"30/09/2025","56,900.0","56,600.0","57,100.0","56,000.0","8890000","0.53%"
"29/09/2025","56,600.0","56,500.0","56,600.0","55,400.0","5360000","0.18%"
"26/09/2025","56,500.0","56,900.0","56,900.0","55,900.0","6010000","-0.70%"
"25/09/2025","56,900.0","57,200.0","57,200.0","56,000.0","6590000","-0.18%"
"24/09/2025","57,000.0","55,400.0","57,000.0","54,500.0","6870000","2.89%"
"23/09/2025","55,400.0","55,200.0","55,700.0","54,500.0","5220000","1.09%"
"22/09/2025","54,800.0","55,500.0","55,700.0","53,600.0","8460000","-0.72%"
"19/09/2025","55,200.0","57,400.0","57,500.0","55,200.0","14990000","-3.16%"
"18/09/2025","57,000.0","56,500.0","57,300.0","55,800.0","8190000","1.42%"
"17/09/2025","56,200.0","56,300.0","56,600.0","55,500.0","8280000","0.18%"
"16/09/2025","56,100.0","56,400.0","56,900.0","55,900.0","6630000","0.18%"
