"Date","Last","Open","High","Low","Vol.","Change %"
"31/12/2025","61,200.0","61,900.0","62,000.0","61,200.0","1880000","-0.97%"
"30/12/2025","61,800.0","62,100.0","62,300.0","61,700.0","1580000","-0.48%"
"29/12/2025","62,100.0","61,500.0","62,200.0","61,400.0","1940000","0.98%"
"26/12/2025","61,500.0","61,600.0","62,300.0","61,200.0","2400000","0.33%"
"25/12/2025","61,300.0","61,600.0","62,300.0","61,300.0","2060000","-0.33%"
"24/12/2025","61,500.0","62,800.0","62,900.0","61,500.0","4870000","-1.76%"
"23/12/2025","62,600.0","63,500.0","64,100.0","62,300.0","4390000","-0.95%"
"22/12/2025","63,200.0","63,900.0","63,900.0","63,100.0","2650000","-1.25%"
"19/12/2025","64,000.0","63,700.0","64,000.0","63,000.0","2690000","0.16%"
"18/12/2025","63,900.0","63,600.0","64,000.0","62,900.0","3070000","1.59%"
"17/12/2025","62,900.0","64,100.0","64,100.0","62,900.0","2090000","-2.02%"
"16/12/2025","64,200.0","62,000.0","64,400.0","61,700.0","6860000","3.55%"
"15/12/2025","62,000.0","60,300.0","62,600.0","60,300.0","4240000","2.99%"
"12/12/2025","60,200.0","61,700.0","62,000.0","60,200.0","4400000","-2.11%"
"11/12/2025","61,500.0","63,000.0","63,500.0","61,500.0","4850000","-2.54%"
"10/12/2025","63,100.0","62,400.0","64,500.0","62,300.0","3470000","0.96%"
"09/12/2025","62,500.0","63,500.0","64,100.0","62,500.0","5390000","-1.57%"
"08/12/2025","63,500.0","63,300.0","64,500.0","63,200.0","3320000","0.16%"
"05/12/2025","63,400.0","63,600.0","64,500.0","63,400.0","3600000","0.00%"
"04/12/2025","63,400.0","65,000.0","65,100.0","63,400.0","5920000","-1.86%"
"03/12/2025","64,600.0","65,100.0","65,200.0","64,000.0","5380000","-0.62%"
"02/12/2025","65,000.0","64,800.0","65,600.0","64,500.0","6760000","0.15%"
"01/12/2025","64,900.0","64,300.0","65,900.0","64,300.0","9110000","1.41%"
"28/11/2025","64,000.0","62,200.0","64,500.0","62,200.0","11900000","3.23%"
"27/11/2025","62,000.0","63,000.0","63,400.0","62,000.0","3960000","-1.27%"
"26/11/2025","62,800.0","62,300.0","63,200.0","62,300.0","3650000","1.45%"
"25/11/2025","61,900.0","63,000.0","63,200.0","61,900.0","4910000","-1.75%"
"24/11/2025","63,000.0","60,100.0","63,400.0","60,100.0","9900000","5.18%"
"21/11/2025","59,900.0","60,300.0","60,700.0","59,700.0","4190000","-1.32%"
"20/11/2025","60,700.0","61,400.0","61,600.0","60,500.0","2660000","-0.33%"
"19/11/2025","60,900.0","60,700.0","61,900.0","60,500.0","4460000","0.33%"
"18/11/2025","60,700.0","62,000.0","62,300.0","60,500.0","5560000","-2.25%"
"17/11/2025","62,100.0","62,900.0","63,300.0","61,800.0","4200000","-1.11%"
"14/11/2025","62,800.0","61,700.0","63,300.0","61,600.0","10150000","1.62%"
"13/11/2025","61,800.0","59,800.0","62,000.0","59,700.0","9740000","3.34%"
"12/11/2025","59,800.0","58,800.0","60,000.0","58,500.0","5160000","1.53%"
"11/11/2025","58,900.0","57,000.0","59,000.0","57,000.0","5150000","3.33%"
"10/11/2025","57,000.0","57,700.0","57,900.0","57,000.0","2680000","-1.04%"
"07/11/2025","57,600.0","57,600.0","58,400.0","57,500.0","3250000","-0.69%"
